country,iso,year,estimate,low,high,var
Georgia,GEO,2018,3.976327596,3.71123909,4.241416103,mort_tbhn
Georgia,GEO,2019,3.712729172,3.447534231,4.243119053,mort_tbhn
Georgia,GEO,2022,1.8,1.4,2.3,mort_tbhn
Georgia,GEO,2012,0.394284867,0.210285262,0.578284472,mort_tbhiv
Georgia,GEO,2013,0.60749763,0.396194107,0.871627034,mort_tbhiv
Georgia,GEO,2014,0.582899581,0.397431532,0.8213585,mort_tbhiv
Georgia,GEO,2015,0.609896445,0.424275788,0.822034339,mort_tbhiv
Georgia,GEO,2016,0.397760871,0.265173914,0.55686522,mort_tbhiv
Georgia,GEO,2017,0.371165725,0.238606538,0.530236751,mort_tbhiv
Georgia,GEO,2018,0.42414161,0.291597357,0.609703565,mort_tbhiv
Georgia,GEO,2019,0.344753423,0.212155953,0.503870388,mort_tbhiv
Georgia,GEO,2022,0.53,0.34,0.77,mort_tbhiv
Georgia,GEO,2012,103.5654918,73.64657192,138.0873224,notif
Georgia,GEO,2013,90.70203747,55.65806845,131.9302363,notif
Georgia,GEO,2014,84.7853936,57.23014068,116.5799162,notif
Georgia,GEO,2015,83.58233019,63.25149311,108.4311311,notif
Georgia,GEO,2016,79.10137864,63.28110291,97.18169376,notif
Georgia,GEO,2017,68.85124208,55.94163419,83.91245128,notif
Georgia,GEO,2018,61.39449809,51.16208174,73.67339771,notif
Georgia,GEO,2019,57.52078266,47.24921433,67.792351,notif
Georgia,GEO,2022,0.66,0.54,0.83,txcov
India,IND,2012,276.9741398,120.8329108,495.885712,inc_all
India,IND,2013,269.5309101,120.8242011,477.1006914,inc_all
India,IND,2014,263.1485321,146.1086327,413.8469648,inc_all
India,IND,2015,256.2616853,151.186835,387.7942317,inc_all
India,IND,2016,248.7606156,159.1171505,357.8268314,inc_all
India,IND,2017,233.3488466,155.8120463,327.1314527,inc_all
India,IND,2018,223.5202783,150.4744357,310.444831,inc_all
India,IND,2019,214.0101375,146.0474587,294.2639391,inc_all
India,IND,2015,11.26341921,5.669506312,16.8573321,inc_mdr
India,IND,2016,10.75721581,6.12563678,15.46349773,inc_mdr
India,IND,2017,9.969017181,5.981410308,13.95662405,inc_mdr
India,IND,2018,9.422913695,5.770621565,13.07520582,inc_mdr
India,IND,2019,8.892988822,5.567155604,12.21882204,inc_mdr
India,IND,2012,13.88793845,2.981591306,32.8759673,inc_tbhiv
India,IND,2013,11.307906,5.034341712,20.05991544,inc_tbhiv
India,IND,2014,9.485586624,5.278269976,14.9933466,inc_tbhiv
India,IND,2015,8.617649594,5.064758972,13.00206781,inc_tbhiv
India,IND,2016,6.573854106,4.183361704,9.487266721,inc_tbhiv
India,IND,2017,5.833721165,3.913762301,8.19674746,inc_tbhiv
India,IND,2018,6.939355046,4.674933926,9.642051222,inc_tbhiv
India,IND,2019,5.061050549,3.470434662,6.940869324,inc_tbhiv
India,IND,2012,37.42681718,35.77909567,39.0745387,mort_tbhn
India,IND,2013,36.47961456,34.62078069,38.33844842,mort_tbhn
India,IND,2014,35.34145984,33.42904318,37.40686983,mort_tbhn
India,IND,2015,34.24381812,32.12720243,36.43602723,mort_tbhn
India,IND,2016,33.69100229,31.37521278,36.08149469,mort_tbhn
India,IND,2017,33.08236813,30.7931864,35.51923899,mort_tbhn
India,IND,2018,32.50539995,30.16793299,34.91591276,mort_tbhn
India,IND,2019,31.88461846,29.57099535,34.34284301,mort_tbhn
India,IND,2012,4.236998172,0.941555149,9.886329068,mort_tbhiv
India,IND,2013,3.950021958,2.168639507,6.351015698,mort_tbhiv
India,IND,2014,2.065409991,1.300443327,2.983369987,mort_tbhiv
India,IND,2015,1.587461767,1.058307845,2.267802525,mort_tbhiv
India,IND,2016,0.896434651,0.582682523,1.344651976,mort_tbhiv
India,IND,2017,1.033824004,0.67937006,1.403046862,mort_tbhiv
India,IND,2018,0.949595954,0.606280494,1.314825167,mort_tbhiv
India,IND,2019,0.694086932,0.433804333,1.01221011,mort_tbhiv
India,IND,2012,101.2043106,44.15145563,181.1929867,notif
India,IND,2013,96.34219726,43.18788153,170.536763,notif
India,IND,2014,123.1249798,68.3629975,193.635506,notif
India,IND,2015,126.0245077,74.35074199,190.7096532,notif
India,IND,2016,131.7666305,84.28316006,189.5381862,notif
India,IND,2017,121.8209469,81.3424677,170.7806312,notif
India,IND,2018,139.4213579,93.85882262,193.6407748,notif
India,IND,2019,156.3375143,106.6897901,214.9640821,notif
Kenya,KEN,2012,471.1176736,180.6713409,896.4957673,inc_all
Kenya,KEN,2013,442.0395903,183.066901,817.1034851,inc_all
Kenya,KEN,2014,423.2863063,183.2786069,761.4789737,inc_all
Kenya,KEN,2015,379.9238991,181.4243338,650.9931979,inc_all
Kenya,KEN,2016,348.6818053,179.5606902,572.0887105,inc_all
Kenya,KEN,2017,318.7046731,175.6961659,504.6157324,inc_all
Kenya,KEN,2018,292.2729596,170.1589148,446.4169177,inc_all
Kenya,KEN,2019,266.9207648,162.9001726,396.4558418,inc_all
Kenya,KEN,2022,237,149,363,inc_all
Kenya,KEN,2015,4.482248248,1.451394671,7.683854139,inc_mdr
Kenya,KEN,2016,3.967038503,1.545057101,6.681328006,inc_mdr
Kenya,KEN,2017,3.677361612,1.573093579,5.720340286,inc_mdr
Kenya,KEN,2018,3.202991338,1.541439581,5.004673965,inc_mdr
